First Name,Last Name,Email,Phone,External_Visitor_ID__c,Account Name
Jane,Doe,jane.doe@example.com,555-0101,V-1001,Harmony Zoo Guests
John,Smith,john.smith@example.com,555-0102,V-1002,Harmony Zoo Guests
Elena,Rodriguez,elena.r@example.com,555-0103,V-1003,Harmony Zoo Guests
Marcus,Johnson,mjohnson88@example.com,555-0104,V-1004,Harmony Zoo Guests
Sarah,Lee,sarah.lee.zoo@example.com,555-0105,V-1005,Harmony Zoo Guests
David,Kim,dkim.explore@example.com,555-0106,V-1006,Harmony Zoo Guests
Rachel,Green,rachel.g@example.com,555-0107,V-1007,Harmony Zoo Guests
Tom,Haverford,tom.h@example.com,555-0108,V-1008,Harmony Zoo Guests
Leslie,Knope,lknope@example.com,555-0109,V-1009,Harmony Zoo Guests
Ron,Swanson,rswanson@example.com,555-0110,V-1010,Harmony Zoo Guests
